REGION_NAME	CHROMOSOME	START	STOP	LENGTH	BASES_PROBE_COVERAGE	FRAC_PROBE_COVERAGE	BASES_ESTIMATED_COVERAGE	FRAC_ESTIMATED_COVERAGE	BASES_W_NO_PROBE_COV	BASES_W_NO_PROBE_COV_DUE_TO_N	BASES_W_NO_PROBE_COV_DUE_TO_REPEATS	BASES_W_NO_EST_COV	BASES_W_NO_EST_COV_DUE_TO_N	BASES_W_NO_EST_COV_DUE_TO_REPEATS
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=4	chr3	178919077	178919328	251	  251	 1.00	  251	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=5	chr3	178921331	178921577	246	  246	 1.00	  246	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=6	chr3	178922290	178922376	86	   86	 1.00	   86	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=7	chr3	178927382	178927488	106	  106	 1.00	  106	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=8	chr3	178927973	178928126	153	  153	 1.00	  153	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=9	chr3	178928218	178928353	135	  135	 1.00	  135	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=10	chr3	178935997	178936122	125	  125	 1.00	  125	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=11	chr3	178936983	178937065	82	   82	 1.00	   82	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=12	chr3	178937358	178937523	165	  165	 1.00	  165	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=13	chr3	178937736	178937840	104	  104	 1.00	  104	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=14	chr3	178938773	178938945	172	  172	 1.00	  172	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=15	chr3	178941868	178941975	107	  107	 1.00	  107	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=16	chr3	178942487	178942609	122	  122	 1.00	  122	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=17	chr3	178943749	178943828	79	   79	 1.00	   79	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=18	chr3	178947059	178947230	171	  171	 1.00	  171	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=19	chr3	178947791	178947909	118	  118	 1.00	  118	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=20	chr3	178948012	178948164	152	  152	 1.00	  152	 1.00	0	0	0	0	0	0
gene_name=PIK3CA;ensemble_gene_id=ENSG00000121879;ensembl_transcript_id=ENST00000263967;exon_num=21	chr3	178951881	178952152	271	  271	 1.00	  271	 1.00	0	0	0	0	0	0
gene_name=PDGFRA;ensemble_gene_id=ENSG00000134853;ensembl_transcript_id=ENST00000257290;exon_num=12	chr4	55141007	55141140	133	  133	 1.00	  133	 1.00	0	0	0	0	0	0
gene_name=PDGFRA;ensemble_gene_id=ENSG00000134853;ensembl_transcript_id=ENST00000257290;exon_num=14	chr4	55144062	55144173	111	  111	 1.00	  111	 1.00	0	0	0	0	0	0
gene_name=PDGFRA;ensemble_gene_id=ENSG00000134853;ensembl_transcript_id=ENST00000257290;exon_num=18	chr4	55152007	55152130	123	  123	 1.00	  123	 1.00	0	0	0	0	0	0
gene_name=KIT;ensemble_gene_id=ENSG00000157404;ensembl_transcript_id=ENST00000288135;exon_num=9	chr4	55592022	55592216	194	  194	 1.00	  194	 1.00	0	0	0	0	0	0
gene_name=KIT;ensemble_gene_id=ENSG00000157404;ensembl_transcript_id=ENST00000288135;exon_num=11	chr4	55593581	55593708	127	  127	 1.00	  127	 1.00	0	0	0	0	0	0
gene_name=KIT;ensemble_gene_id=ENSG00000157404;ensembl_transcript_id=ENST00000288135;exon_num=13	chr4	55594176	55594287	111	  111	 1.00	  111	 1.00	0	0	0	0	0	0
gene_name=KIT;ensemble_gene_id=ENSG00000157404;ensembl_transcript_id=ENST00000288135;exon_num=14	chr4	55595500	55595651	151	  151	 1.00	  151	 1.00	0	0	0	0	0	0
gene_name=KIT;ensemble_gene_id=ENSG00000157404;ensembl_transcript_id=ENST00000288135;exon_num=17	chr4	55599235	55599358	123	  123	 1.00	  123	 1.00	0	0	0	0	0	0
gene_name=TERT;type=promoter_variant	chr5	1295178	1295300	122	  122	 1.00	  122	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=43	chr6	117609654	117609965	311	  311	 1.00	  311	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=42	chr6	117622136	117622300	164	  164	 1.00	  164	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=41	chr6	117629956	117630091	135	  135	 1.00	  135	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=40	chr6	117631243	117631444	201	  201	 1.00	  201	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=39	chr6	117632182	117632280	98	   98	 1.00	   98	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=38	chr6	117638305	117638435	130	  130	 1.00	  130	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=37	chr6	117639350	117639415	65	   65	 1.00	   65	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=36	chr6	117641030	117641193	163	  163	 1.00	  163	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=35	chr6	117642421	117642557	136	  136	 1.00	  136	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=34	chr6	117645494	117645578	84	   84	 1.00	   84	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=33	chr6	117647386	117647577	191	  191	 1.00	  191	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=32	chr6	117650491	117650609	118	  118	 1.00	  118	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=31	chr6	117658334	117658503	169	  169	 1.00	  169	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=30	chr6	117662297	117662474	177	  177	 1.00	  177	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=29	chr6	117662562	117662795	233	  233	 1.00	  233	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=28	chr6	117663562	117663707	145	  145	 1.00	  145	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=27	chr6	117665222	117665425	203	  203	 1.00	  203	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=26	chr6	117674152	117674332	180	  180	 1.00	  180	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=25	chr6	117677791	117678078	287	  287	 1.00	  287	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=24	chr6	117678966	117679172	206	  206	 1.00	  206	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=23	chr6	117680971	117681174	203	  203	 1.00	  203	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=22	chr6	117681504	117681568	64	   64	 1.00	   64	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=21	chr6	117683765	117684028	263	  263	 1.00	  263	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=20	chr6	117686222	117686367	145	  145	 1.00	  145	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=19	chr6	117686743	117686904	161	  161	 1.00	  161	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=18	chr6	117687238	117687453	215	  215	 1.00	  215	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=17	chr6	117700221	117700322	101	  101	 1.00	  101	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=16	chr6	117704479	117704671	192	  192	 1.00	  192	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=15	chr6	117706845	117707024	179	  179	 1.00	  179	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=14	chr6	117708051	117708162	111	  111	 1.00	  111	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=13	chr6	117708942	117709197	255	  255	 1.00	  255	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=12	chr6	117710512	117711009	497	  497	 1.00	  497	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=11	chr6	117714386	117714484	98	   98	 1.00	   98	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=10	chr6	117715324	117715509	185	  185	 1.00	  185	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=9	chr6	117715778	117715901	123	  123	 1.00	  123	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=8	chr6	117717350	117717427	77	   77	 1.00	   77	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=7	chr6	117718077	117718279	202	  202	 1.00	  202	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=6	chr6	117724301	117724440	139	  139	 1.00	  139	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=5	chr6	117725442	117725591	149	  149	 1.00	  149	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=4	chr6	117730744	117730805	61	   61	 1.00	   61	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=3	chr6	117737420	117737480	60	   60	 1.00	   60	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=2	chr6	117739624	117739669	45	   45	 1.00	   45	 1.00	0	0	0	0	0	0
gene_name=ROS1;ensemble_gene_id=ENSG00000047936;ensembl_transcript_id=ENST00000368508;exon_num=1	chr6	117746696	117746819	123	  123	 1.00	  123	 1.00	0	0	0	0	0	0
gene_name=ESR1;ensemble_gene_id=ENSG00000091831;ensembl_transcript_id=ENST00000206249;exon_num=5	chr6	152332790	152332929	139	  139	 1.00	  139	 1.00	0	0	0	0	0	0
gene_name=ESR1;ensemble_gene_id=ENSG00000091831;ensembl_transcript_id=ENST00000206249;exon_num=6	chr6	152382125	152382259	134	  134	 1.00	  134	 1.00	0	0	0	0	0	0
gene_name=ESR1;ensemble_gene_id=ENSG00000091831;ensembl_transcript_id=ENST00000206249;exon_num=8	chr6	152419866	152420101	235	  235	 1.00	  235	 1.00	0	0	0	0	0	0
gene_name=EGFR;ensemble_gene_id=ENSG00000146648;ensembl_transcript_id=ENST00000275493;exon_num=1	chr7	55086970	55087058	88	   88	 1.00	   88	 1.00	0	0	0	0	0	0
gene_name=EGFR;ensemble_gene_id=ENSG00000146648;ensembl_transcript_id=ENST00000275493;exon_num=2	chr7	55209978	55210130	152	  152	 1.00	  152	 1.00	0	0	0	0	0	0
gene_name=EGFR;ensemble_gene_id=ENSG00000146648;ensembl_transcript_id=ENST00000275493;exon_num=3	chr7	55210997	55211181	184	  184	 1.00	  184	 1.00	0	0	0	0	0	0
gene_name=EGFR;ensemble_gene_id=ENSG00000146648;ensembl_transcript_id=ENST00000275493;exon_num=4	chr7	55214298	55214433	135	  135	 1.00	  135	 1.00	0	0	0	0	0	0
gene_name=EGFR;ensemble_gene_id=ENSG00000146648;ensembl_transcript_id=ENST00000275493;exon_num=5	chr7	55218986	55219055	69	   69	 1.00	   69	 1.00	0	0	0	0	0	0
gene_name=EGFR;ensemble_gene_id=ENSG00000146648;ensembl_transcript_id=ENST00000275493;exon_num=6	chr7	55220238	55220357	119	  119	 1.00	  119	 1.00	0	0	0	0	0	0
gene_name=EGFR;ensemble_gene_id=ENSG00000146648;ensembl_transcript_id=ENST00000275493;exon_num=7	chr7	55221703	55221845	142	  142	 1.00	  142	 1.00	0	0	0	0	0	0
gene_name=EGFR;ensemble_gene_id=ENSG00000146648;ensembl_transcript_id=ENST00000275493;exon_num=8	chr7	55223522	55223639	117	  117	 1.00	  117	 1.00	0	0	0	0	0	0
gene_name=EGFR;ensemble_gene_id=ENSG00000146648;ensembl_transcript_id=ENST00000275493;exon_num=9	chr7	55224225	55224352	127	  127	 1.00	  127	 1.00	0	0	0	0	0	0
gene_name=EGFR;ensemble_gene_id=ENSG00000146648;ensembl_transcript_id=ENST00000275493;exon_num=10	chr7	55224451	55224525	74	   74	 1.00	   74	 1.00	0	0	0	0	0	0
gene_name=EGFR;ensemble_gene_id=ENSG00000146648;ensembl_transcript_id=ENST00000275493;exon_num=11	chr7	55225355	55225446	91	   91	 1.00	   91	 1.00	0	0	0	0	0	0
gene_name=EGFR;ensemble_gene_id=ENSG00000146648;ensembl_transcript_id=ENST00000275493;exon_num=12	chr7	55227831	55228031	200	  200	 1.00	  200	 1.00	0	0	0	0	0	0
